Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,Hist_MaxQs,Ann_MaxQs
2019,1538.81,,,,7839,,,,
2018,750.76,62.67,53.79,5560,867.34,0,1.7,14392,398
2018,820.69,62.82,-,5746.74,511.17,0,6.91,118000,-
2018,221.73,14.6,7.12,3506,429,0.37,2.12,18900,405
2018,247.28,14.17,8.51,5555,415.8,0.02,1.37,49693,3497
2018,437.58,29.87,27.8,2960,345.2,0.47,9.86,8020,1226
2018,1051.04,55.44,42.25,16649.7,580.3,0,6.34,9910,836
2018,2906.32,141.72,78.83,28000,3680,0.27,15.81,105500,17100
2018,597.46,25.42,28.79,3740,1057.21,0,8.01,16534,1140
2018,282.89,14.2,18.55,2660,1559.58,0.06,0.8,11160,922
2018,441.02,20.89,-,5980,-,0,-,39364,-
2018,226.66,9.55,15.95,1600,1501.34,0,0.31,77965,1739
2018,160.53,9.15,6.54,9230,983.49,0,0.05,69800,1529
2018,146.46,6.09,11.92,1002.84,981.06,0,0.73,37380,2939
2018,139.62,8.59,13.18,2205.9,885.88,0,0.03,753353,4327
2018,2894.79,209.48,44.91,27445.91,6376.32,2.23,0.93,60010,1296
2018,175.3,16.78,31.74,1690,328.77,0,7.1,9783,953
2018,1506,107.3,90.39,11900,3017.5,0,25.27,56000,2416
2018,1538.81,104.86,91.79,14300,5077,0,13.57,33400,4022
2018,1584.29,94.22,72.99,12800,2533.39,0,3.98,94083,27190
2017,750.76,62.96,-,5560,1062.88,0,5.19,14392,2754
2017,820.69,62.82,-,5746.74,1000,0,0,118000,4595
2017,221.73,14.77,9.9,3506,397,0.37,1.56,18900,4297
2017,247.28,14.27,17.71,5555,1810,0.02,1.63,49693,2670
2017,437.58,29.96,43.26,2960,842.44,0.47,7.53,8020,5159
2017,1051.04,55.86,59.15,16649.7,1739.04,0,5.49,9910,4577
2017,597.46,25.36,32.44,3740,212.87,0,8.45,16534,1308
2017,282.89,13.98,14.81,2660,316.93,0.06,1.08,11160,1364
2017,441.02,20.89,-,5980,-,0,-,39364,-
2017,226.66,9.43,11.65,1600,295.27,0,0.51,77965,1035
2017,160.53,9.2,2.66,9230,240.23,0,0.08,69800,2573
2017,146.46,5.92,5.05,1002.84,211.99,0,0.92,37380,2942
2017,139.62,8.43,3.61,2205.9,188.78,0,0.06,753353,3238
2017,2894.79,216.96,-,27445.91,7890,2.23,6.66,60010,2515
2017,175.3,16.49,-,1690,93.06,0,2.97,9783,438
2017,1506,107.65,147.07,11900,4066,0,34.21,56000,3116
2017,1538.81,105.13,135.22,14300,6988.5,0,35.53,33400,5169
2017,1584.29,94.1,111.01,12800,1406.2,0,0,94083,41928
2016,750.76,62.96,-,5560,750.93,0,6.91,14392,6194
2016,820.69,62.74,60.33,5420,878.06,2.85,17.83,118000,4742
2016,221.73,14.88,18.01,3506,1042.5,0.37,3.54,18900,552
2016,247.28,14.21,18.52,5555,690,0.02,3.28,49693,496
2016,437.58,29.38,27.22,2960,725.34,0.47,7.68,8020,6066
2016,1051.04,55.76,57.47,16649.7,639.84,0,9.67,9910,814
2016,2906.32,142.29,121.37,28000,4650,0.27,6.99,105500,12850
2016,597.46,25.25,17.96,3740,547.65,0,6.55,16534,1510
2016,282.89,13.93,16.5,2660,290.73,0.06,1.07,11160,1237
2016,441.02,20.89,-,5980,-,0,-,39364,-
2016,226.66,9.39,15.5,1600,506.63,0,0.59,77965,2670
2016,160.53,9.32,7.44,9230,1034.69,0,0.24,69800,4197
2016,146.46,5.95,-,1002.84,965.46,0,1.47,37380,2067
2016,139.62,8.6,12.08,2205.9,1085.39,0,0.29,753353,5653
2016,2894.79,216.96,234.27,27445.91,2172,2.23,8.73,60010,1808
2016,175.3,16.49,24.58,1690,177.4,0,3.12,9783,267
2016,1506,106.81,182.38,11900,7359.2,0,0,56000,5777
2016,1538.81,104.49,186.51,14300,7245,0,30.45,33400,6563
2016,1584.29,93.83,152.97,12800,3122.88,0,0,94083,23620
2015,750.76,62.33,-,5560,956.12,0,2.21,5585,1290
2015,820.69,63.6,49.64,5420,2519.86,2.85,10.53,118000,1020
2015,221.73,44.21,12.96,4052,525,0.37,0.49,18900,459
2015,247.28,13.8,16.82,5776,1470,0.36,0.79,49693,1473
2015,437.58,29.05,30.3,2960,1726.54,3.92,1.54,105667,609
2015,1051.04,56.32,-,16649.7,1625.52,0,3.31,2998,2998
2015,2906.32,149.29,110.81,28000,16883.42,0.27,6.33,105500,33300
2015,597.46,25.17,28.2,3740,1262.12,0,6.11,16534,5741
2015,282.89,13.01,16.42,2660,1204.51,0.06,0.75,11160,11160
2015,441.02,20.89,-,5980,2295.6,0,3.58,39364,27205
2015,226.66,9.17,9.82,1600,1033.3,0,0.99,77965,1656
2015,160.53,9.69,10.27,9230,2154.35,0,0,69800,39642
2015,146.46,5.84,8.21,970.86,970.86,0,0,37380,1329
2015,139.62,8.31,-,1770,968.27,0,0.09,753353,5784
2015,812.03,68.48,-,6500,1074.68,0,6.08,47465,1025
2015,175.3,16.21,-,1690,895.78,0.29,0.71,7380,2274
2015,309.86,24.7,35.33,5265.74,-,0,0.25,36348,36348
2015,1506,105.08,120.73,11900,4350,0,12.04,56000,17296
2015,1538.81,105.04,119.57,14300,4182,0,0,33400,15038
2015,1584.29,93.54,-,12800,8229.63,0,0.28,87417,3637
2014,750.76,62.33,-,5560,1008.78,0,0,5585,927.53
2014,820.69,63.08,28.34,5746.74,2483.88,2.78,7.17,118000,5166
2014,221.73,14.89,8.01,4052,73,0.37,2.35,18900,980
2014,247.28,14.13,-,5776,251.6,0.02,1.65,49693,205
2014,437.58,29.68,19.93,2960,162.51,0.47,6.45,105667,1053
2014,1051.04,56.05,42.55,16649.7,741.08,0,5.27,2998,1592
2014,2906.32,145.4,95.69,28000,3854,0.27,8.75,105500,21700
2014,597.46,25.44,19.65,3740,437.46,0,6.64,16534,4409
2014,282.89,13.77,11.85,2660,807.66,0.06,0.72,11160,1119
2014,441.02,20.89,-,5980,-,0,-,39364,-
2014,226.66,9.27,7.7,1600,296.7,0,0.62,77965,1109
2014,160.53,9.47,0.84,9230,112.22,0,0.17,69800,1075
