River Name,Station Name,River #,,Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,Hist_MaxQs,Ann_MaxQs,M,P,T,,,
,,,,2004,437.58,-,-,-,-,-,-,8020,-,,,,,,
,,,,2015,437.58,29.05,30.3,2960,1726.54,3.92,1.54,105667,609,1,0.071428571,14,,,
,,,,2009,437.58,29.05,30.3,2960,1726.54,3.92,1.54,105667,609,2,0.142857143,7,,,
,,,,2012,437.58,29.44,48.28,2960,1715.44,3.92,0.47,105667,-,3,0.214285714,4.666666667,,,
,,,,2017,437.58,29.96,43.26,2960,842.44,0.47,7.53,8020,5159,4,0.285714286,3.5,,,
,,,,2016,437.58,29.38,27.22,2960,725.34,0.47,7.68,8020,6066,5,0.357142857,2.8,,,
,,,,2013,437.58,30.17,43.99,2960,703.98,3.92,2.59,105667,13534,6,0.428571429,2.333333333,,,
Taan C.,Hsiangpi,,,2019,437.58,30.17,39.31,2960,635.88,0.47,,8020,1241,7,0.5,2,,,
,,,,2010,437.58,29.04,28.82,2960,361.2,3.92,11.58,105667,258,8,0.571428571,1.75,,,
,,,,2007,437.58,29,44.47,2960,358.84,3.92,18.46,105667,354,9,0.642857143,1.555555556,,,
,,,,2011,437.58,28.404,17.47,2960,348.87,3.92,2.31,105667,-,10,0.714285714,1.4,,,
Taan C.,Hsiangpi,,,2018,437.58,29.87,27.8,2960,345.2,0.47,9.86,8020,1226,11,0.785714286,1.272727273,,,
,,,,2014,437.58,29.68,19.93,2960,162.51,0.47,6.45,105667,1053,12,0.857142857,1.166666667,,,
,,,,2003,437.58,27.58,13.55,2960,122,3.92,4.8,8020,468,13,0.928571429,1.076923077,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,y = 733.12ln(x) + 88.962,,,,,,,,,,,,,,,,,Sandimen Floods
,,,,,,,,,,,,,,,,,,,945.71
,x,100,50,10,2.5,250,,,,,,,,,,,,,1022.55
,,,,,,,,,,,,,,,,,,,1160.85
,y,3465.104367,2956.944306,1777.033183,760.7130614,4136.855428,,,,,,,,,,,,,1553.02
,2003,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,1604.8
,2004,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2007,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2009,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2010,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2011,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2012,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2013,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2014,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2015,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2016,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2017,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2018,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
,2019,3465.104367,2956.944306,1777.033183,760.7130614,,,,,,,,,,,,,,
