Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
2000,622.80,36.18,43.67,9110.00,1472.00,0.86,6.85,6650,35715,4686
2000,820.69,62.77,84.51,4580.00,2680.00,2.85,22.20,1607,118000,8757
2000,221.73,13.95,15.36,1910.00,454.00,0.37,1.90,5162,18900,597
2000,247.28,13.47,17.88,3640.00,852.00,0.36,0.74,10111,49693,726
2000,633.18,31.27,29.29,6340.00,636.00,0.06,2.61,105667,45600,370
2000,417.08,25.16,33.91,1471.64,1154.50,3.30,6.53,446,49253,1790
2000,1980.65,116.37,111.99,13500.00,2050.00,5.41,36.50,23276,21500,1570
2000,2090.62,-,-,-,-,-,-,1387,37170,-
2000,597.46,24.55,16.92,3640.00,532.00,0.00,9.30,-,16534,3422
2000,149.68,7.73,6.55,2160.00,356.00,0.00,0.49,-,8240,1473
2000,441.02,19.05,22.02,5980.00,681.00,0.00,2.68,-,39364,4470
2000,226.66,8.68,7.19,1600.00,384.00,0.00,0.32,-,23833,4470
2000,1115.90,-,-,-,-,-,-,-,160996,-
2000,146.46,5.53,7.89,608.00,526.00,0.00,0.17,-,37380,4800
2000,139.62,8.00,9.00,1770.00,538.00,0.00,0.04,88500,753353,19679
2000,812.03,67.11,55.36,6500.00,1240.00,0.00,9.44,-,47465,43519
2000,175.30,16.52,15.49,1690.00,752.00,0.34,2.10,4971,2388,301
2000,309.86,24.25,31.84,4350.00,721.00,0.00,0.10,-,28706,2034
2000,1506.00,97.94,143.43,11900.00,10800.00,16.50,34.10,717,56000,14500
2000,1538.81,104.72,126.65,14300.00,11100.00,12.00,24.00,1135,33400,18500
2000,1584.29,94.39,104.99,12800.00,7260.00,0.41,4.00,31220,64000,44676
1999,622.80,35.98,26.51,9110.00,202.22,0.86,5.65,6650,35715,0
1999,820.69,62.34,62.54,4580.00,739.00,2.85,7.29,1607,118000,29800
1999,221.73,13.90,9.39,1910.00,116.00,0.37,1.64,5162,18900,103
1999,247.28,13.37,10.71,3640.00,278.00,0.36,1.19,10111,49693,379
1999,633.18,31.33,18.20,6340.00,175.00,0.06,1.66,105667,45600,278
1999,417.08,24.86,21.54,1471.64,214.23,3.30,6.51,446,49253,251
1999,1980.65,116.50,101.31,13500.00,1280.00,5.41,24.30,23276,21500,501
1999,2090.62,-,-,-,-,-,-,1387,37170,-
1999,597.46,24.71,26.20,3640.00,614.00,0.00,4.00,-,16534,972
1999,149.68,7.78,5.52,2160.00,932.00,0.00,0.46,-,8240,1436
1999,441.02,18.98,21.96,5980.00,576.00,0.00,2.10,-,39364,28633
1999,226.66,8.71,9.68,1600.00,312.00,0.00,0.35,-,23833,8632
1999,1115.90,26.21,17.53,4000.00,966.00,0.00,0.20,-,160996,6656
1999,146.46,5.44,8.17,608.00,266.00,0.00,0.33,-,37380,4803
1999,139.62,7.94,11.18,1770.00,128.00,0.00,0.00,88500,753353,102718
